Username,Password,Workfactor,Attempts,Time (seconds),Hash Rate (hash/s),Position in Dictionary,Dictionary Size,Percent Through Dictionary,Start Time,End Time,Status
Bilbo,welcome,8,131854,636.35,207.20,131854,135145,97.56,2025-11-04 23:24:29,2025-11-04 23:35:06,CRACKED
Gandalf,wizard,8,133032,668.67,198.95,133032,135145,98.44,2025-11-04 23:35:06,2025-11-04 23:46:14,CRACKED
Thorin,diamond,8,132931,634.69,209.44,132931,135145,98.36,2025-11-04 23:46:14,2025-11-04 23:56:49,CRACKED
Fili,desire,9,132193,1102.96,119.85,132193,135145,97.82,2025-11-04 23:56:49,2025-11-05 00:15:12,CRACKED
Kili,ossify,9,127580,7172.69,17.79,127580,135145,94.40,2025-11-05 00:15:12,2025-11-05 02:14:45,CRACKED
Balin,hangout,10,134295,30593.95,4.39,134295,135145,99.37,2025-11-05 02:14:45,2025-11-05 10:44:39,CRACKED
Dwalin,drossy,10,119011,2660.51,44.73,119011,135145,88.06,2025-11-05 10:44:39,2025-11-05 11:28:59,CRACKED
Oin,ispaghul,10,125231,10949.11,11.44,125231,135145,92.66,2025-11-05 11:28:59,2025-11-05 14:31:28,CRACKED
Gloin,oversave,11,129281,13967.18,9.26,129281,135145,95.66,2025-11-05 14:31:28,2025-11-05 18:24:16,CRACKED
Dori,indoxylic,11,123049,12951.15,9.50,123049,135145,91.05,2025-11-05 18:24:16,2025-11-05 22:00:07,CRACKED
Nori,swagsman,11,128821,18394.97,7.00,128821,135145,95.32,2025-11-05 22:00:07,2025-11-06 03:06:42,CRACKED
Ori,airway,12,120956,37394.92,3.23,120956,135145,89.50,2025-11-06 03:06:42,2025-11-06 13:29:57,CRACKED
Bifur,corrosible,12,127557,38297.51,3.33,127557,135145,94.39,2025-11-06 13:29:57,2025-11-07 00:08:14,CRACKED
Bofur,libellate,12,129885,42504.37,3.06,129885,135145,96.11,2025-11-07 00:08:14,2025-11-07 11:56:38,CRACKED
